Ticker,Date,Open,High,Low,Close,Adj Close,Volume
DKNG,1/10/2020,12.41,12.63,11.982,12.39,12.39,2374700
DKNG,1/13/2020,12.61,12.64,11.55,12,12,1674100
DKNG,1/14/2020,12.14,12.28,11.82,11.94,11.94,594900
DKNG,1/15/2020,12,13,11.99,12.7,12.7,3258200
DKNG,1/16/2020,13.11,13.44,12.94,12.99,12.99,5473100
DKNG,1/17/2020,13.23,13.67,12.76,13.57,13.57,3487800
DKNG,1/21/2020,13.83,14.5,13.32,13.83,13.83,3281900
DKNG,1/22/2020,14,14.39,13.72,14.27,14.27,2341800
DKNG,1/23/2020,14.47,14.6,14.11,14.44,14.44,2901100
DKNG,1/24/2020,14.6,14.717,14.16,14.36,14.36,1823200
DKNG,1/27/2020,14.59,15.14,14.35,15,15,4655300
DKNG,1/28/2020,15.35,15.75,14.3,15.08,15.08,5870300
DKNG,1/29/2020,14.93,14.97,14,14.5,14.5,3475000
DKNG,1/30/2020,14.77,14.89,14.36,14.67,14.67,1940600
DKNG,1/31/2020,14.79,15,14.4,14.53,14.53,1098200
DKNG,2/3/2020,14.84,14.87,14.04,14.51,14.51,1458500
DKNG,2/4/2020,14.64,15.026,14.45,14.57,14.57,1403600
DKNG,2/5/2020,14.81,14.9,13.85,14.25,14.25,1270100
DKNG,2/6/2020,14.35,14.48,13.26,13.61,13.61,2912700
DKNG,2/7/2020,13.64,14.74,13.5,14.5,14.5,1249400
DKNG,2/10/2020,14.52,16.74,14.5,16.02,16.02,3305700
DKNG,2/11/2020,16.389999,17.360001,16.299999,16.82,16.82,2388100
DKNG,2/12/2020,17.07,18.690001,16.9,18.35,18.35,3997300
DKNG,2/13/2020,18.48,18.65,17.25,17.91,17.91,1543000
DKNG,2/14/2020,17.959999,18.299999,16.860001,17.33,17.33,1285400
DKNG,2/18/2020,17.549999,17.77,16.65,17.290001,17.290001,1365500
DKNG,2/19/2020,17.959999,18.360001,17.65,17.969999,17.969999,1684400
DKNG,2/20/2020,18.129999,18.139999,16.75,17.65,17.65,1379800
DKNG,2/21/2020,17.57,17.617001,16.85,16.950001,16.950001,579000
DKNG,2/24/2020,16.440001,16.820999,15.8,16.639999,16.639999,1203700
DKNG,2/25/2020,17.370001,17.822001,16.5,16.959999,16.959999,1852700
DKNG,2/26/2020,17.389999,17.65,16.382,16.83,16.83,1415100
DKNG,2/27/2020,16.309999,16.700001,15.94,16.17,16.17,1291200
DKNG,2/28/2020,15.68,16.15,15.35,16.02,16.02,978800
DKNG,3/2/2020,16.1,17.049999,16.1,16.66,16.66,829400
DKNG,3/3/2020,17,17.049999,16.25,16.41,16.41,880600
DKNG,3/4/2020,16.67,19.5,16.532,18.690001,18.690001,2632700
DKNG,3/5/2020,17.790001,18.83,17.549999,17.940001,17.940001,2419900
DKNG,3/6/2020,17.4,17.465,16.700001,16.83,16.83,2023800
DKNG,3/9/2020,15,17.450001,14.5,17.01,17.01,2049500
DKNG,3/10/2020,17.66,17.99,16.01,16.6,16.6,2385000
DKNG,3/11/2020,16.25,16.75,13.501,14.5,14.5,3751300
DKNG,3/12/2020,11,12.74,10.6,11.17,11.17,7176400
DKNG,3/13/2020,12.29,12.45,11.23,12.45,12.45,2371900
DKNG,3/16/2020,11,12,10.9,11.8,11.8,2838200
DKNG,3/17/2020,11.46,13.04,11.27,12.89,12.89,2111200
DKNG,3/18/2020,12,12.74,11.25,11.4,11.4,1711900
DKNG,3/19/2020,11.4,12.5,11.4,11.4,11.4,1160300
DKNG,3/20/2020,11.5,12.23,11.05,11.48,11.48,1663800
DKNG,3/23/2020,11.36,11.96,10.92,11.3,11.3,1175000
